"utt_id","yt_id","chunk_id","audio_path","video_normal_path","video_bbox_path","video_cropped_path","google_txt","whisper_txt","split","poi"
"h9OrOkhODmY_chunk_009","h9OrOkhODmY","chunk_009","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_009.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_009.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_009_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_009.mp4","আপনি চিন্তা করবেন কিভাবে আমি আমার সেই","আপনি চিন্তা করবেন, কিভাবে আমি আমার সেইম ম্যাসিয়ায় করেন।","test",""
"h9OrOkhODmY_chunk_034","h9OrOkhODmY","chunk_034","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_034.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_034.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_034_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_034.mp4","","মানান তালে কিন্তু ওই অ্যাওয়্যারনেসের মানুষগুলোয়ে।","test",""
"h9OrOkhODmY_chunk_008","h9OrOkhODmY","chunk_008","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_008.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_008.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_008_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_008.mp4","সে জিনিস যদি আপনি আবার করেন এবং","সেম জিনিস যদি আপনি আবার করেন এবং এইবারে করেন।","test",""
"h9OrOkhODmY_chunk_036","h9OrOkhODmY","chunk_036","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_036.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_036.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_036_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_036.mp4","একটা খুব ইন্টারেস্টিং সেটা হলো","বানা বেনি যেগুলায় কর্ল টু অ্যাকশন থাকে।","test",""
"h9OrOkhODmY_chunk_022","h9OrOkhODmY","chunk_022","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_022.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_022.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_022_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_022.mp4","ফেসবুক ব্যাপারটা বুঝতে পারছে যে আমাদের","ফেইসবুক ব্যাপারটা বুঝতে পারছে যে- আমাদের ফেইসবুকে।","test",""
"h9OrOkhODmY_chunk_023","h9OrOkhODmY","chunk_023","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_023.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_023.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_023_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_023.mp4","এই জিনিস যদি এমন হয় যে এটা এমন কোথা থেকে","এই জিনিস যদি এমন হয়ে যে এটা এমন কোথা থেকে কুজান্ত নেয়।","test",""
"h9OrOkhODmY_chunk_033","h9OrOkhODmY","chunk_033","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_033.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_033.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_033_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_033.mp4","কন্টাক্ট না বানান সব সময় মিড লেভেল অথবা লোয়ার লে","সবসূয়ে মিড লেভেল অথবা লোয়ার লেভেলের কম।","test",""
"h9OrOkhODmY_chunk_027","h9OrOkhODmY","chunk_027","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_027.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_027.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_027_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_027.mp4","পোস্ট করবেন 35% চান্স এই পোস্টটা এমন","পোস্ট করবেন, পয় তিরিশ পার্সেন্ট চান্স এই পোস্টা এমন মানুষের পোস্টা।","test",""
"h9OrOkhODmY_chunk_026","h9OrOkhODmY","chunk_026","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_026.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_026.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_026_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_026.mp4","মার্কেটের আপনার এই জিনিসটা উল্টা দিক থেকে চিন্তা করতে","আপনারি জিনিস্তা উল্লাটা দিক থেকে চিন্তা করতে হবে।","test",""
"h9OrOkhODmY_chunk_032","h9OrOkhODmY","chunk_032","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_032.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_032.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_032_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_032.mp4","লাস্টে যাই একশন হয় আপনি যদি অ্যারন","সেই হয়ে লাস্ট স্টেজে অ্যাকশন হয়ে।","test",""
"h9OrOkhODmY_chunk_024","h9OrOkhODmY","chunk_024","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_024.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_024.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_024_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_024.mp4","যে জিনিসটা আসলে ফলো করে না তাতেও ফেসবুক এর কোন সমস্যা নাই আপনার নিউজফিডে","যে জিনিস সে অসলে ফলো করে না, তাতেও ফেসবুগের কোন সমস্যা নেই, আপনার নিউজ ফিডো যদি অ্যান্ড করে নিয়ে করে নিয়ে করে না","test",""
"h9OrOkhODmY_chunk_019","h9OrOkhODmY","chunk_019","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_019.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_019.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_019_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_019.mp4","মানুষগুলো কখনোই আপনাকে ফলো করে নাই কখনোই আপনাকে লাইক করেনি কখনোই আপনার আগের কোন পোস্টের সাথে","এই মানুষগুলা কখনোই আপনাকে ফলো করে নেই, কখনোই আপনাকে লাইক করে নেই, কখনোই আপনার আগের কোন পোস্টের সাথে ইন্টারন্ড কর�","test",""
"h9OrOkhODmY_chunk_031","h9OrOkhODmY","chunk_031","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_031.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_031.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_031_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_031.mp4","মেটেরিয়াল আছে এবং কখনো যদি আপনি বড় কথা না বলেন ম্যাক্রো ভিজে এটা আমার শাড়ির কোম্পানি তাহলে কিন্তু ওই 35","এবং কখনো যদি আপনি বড়ো কথা না বলেন ম্যাক্রো বিবেচে, এটা আমার সারির কোম্পানি, তাইলে কিন্তু ঐ পয়ে তিরেজন বহেন।","test",""
"h9OrOkhODmY_chunk_025","h9OrOkhODmY","chunk_025","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_025.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_025.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_025_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_025.mp4","জায়গা থেকে যেসব জায়গার কথা আপনি একচুয়ালি জানতেনই না এসব ব্র্যান্ড অথবা এজার","যেসব জায়গার কথা আপনি অ্যাংচলি জানতেনি না, এস আ ব্র্যান্ড অথবা এস আ ডিজিটাল মেন।","test",""
"h9OrOkhODmY_chunk_043","h9OrOkhODmY","chunk_043","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_043.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_043.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_043_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_043.mp4","মানুষ সফল হয় জিনিস করতে যেয়ে সো যে জিনিসের সফল হওয়ার চান্স","মানুষ সফল হওয়া এই জিনিস করতে যে, তো যে জিনিসের সফল হওয়ার চানসিয়া তথে।","test",""
"h9OrOkhODmY_chunk_055","h9OrOkhODmY","chunk_055","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_055.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_055.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_055_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_055.mp4","ব্র্যান্ড আপনি যখন কনটেন্ট স্ট্রাটেজি ভাবতেছেন সব সময় মাথায় রাখবেন যে সোশ্যাল মিডিয়া মানুষ প্রাইমারি যায় এন্টারটেইনমেন্টের জন্য সোশ্যাল মিডিয়া","এসা ব্র্যান্ড আপনি যখন কন্টেন্ট স্ট্রেটেজি ভাবতেছেন সবসাবে মাথায় রাখবেন যে সোশাল মিডিয়া মানুষ প্রাইমারিলি যা�","test",""
"h9OrOkhODmY_chunk_041","h9OrOkhODmY","chunk_041","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_041.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_041.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_041_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_041.mp4","আমি ইঞ্জিনিয়ার করার চেষ্টা করব না যেন আমার পোস্ট বা আমার ভিডিও ভাইরাল হয়","আমি ইঞ্জিনিয়ার করার চেষ্টা করব না যান্য আমার পোস্ট বা আমার ভিডিও ভাইরাল হয়।","test",""
"h9OrOkhODmY_chunk_040","h9OrOkhODmY","chunk_040","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_040.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_040.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_040_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_040.mp4","খুব ভালো জিনিস আমি যদি আমার কোন পোস্ট বা আমার কোন রিয়েল সঠিকভাবে ভাইরাল করতে পারি খুবই ভালো","আমি যদি আমার কোনো পোস্ট বা আমার কোনো রিল সঠিকভাবে ভাইরাল করতে পারি খুবই ভালো, বাট ভালোয়ে প্রয়োজ্য করতে পারে করে�","test",""
"h9OrOkhODmY_chunk_068","h9OrOkhODmY","chunk_068","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_068.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_068.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_068_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_068.mp4","কারণে বিল্ডিং টুল হিসেবে আপনি যেন এই আইডিটা কে ইউজ করতে পারেন যাতে করে আপনার কনটেন্টের স্ট্রাকচার আরো ইন্টারেস্টিং হয় যদি","এই অ্যানাবলিং টুল হিসেবে আপনি যানো এআইটাকে ইউজ করতে পারেন, যাতে করে আপনার কন্টেন্টের স্ট্রাক্চার আরও ইন্টারিস্ট","test",""
"h9OrOkhODmY_chunk_045","h9OrOkhODmY","chunk_045","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_045.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_045.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_045_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_045.mp4","তারপরে পুরা লিস্টে যা যা আছে অলমোস্ট সবই নিউজ এবং","তারপরে পুরা লিস্টে যাজা আছে অল্মস্ট সবই নিউজ এবং গসিল।","test",""
"h9OrOkhODmY_chunk_051","h9OrOkhODmY","chunk_051","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_051.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_051.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_051_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_051.mp4","অনেক বেশি টাকা আছে এবং যারা কোটি কোটি টাকা","এবং যারা কুটি কুটি টাকা খরতে নিয়ে করে।","test",""
"h9OrOkhODmY_chunk_047","h9OrOkhODmY","chunk_047","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_047.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_047.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_047_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_047.mp4","আপনি ফেসবুক এর কোয়া","আপনি ফেসবুকের কোয়ার্টার লিডি।","test",""
